ID,Version,Timestamp,CVEs
org.mockito:mockito-core:3.5.10,3.5.10,1599172992000,No CVE
org.mockito:mockito-core:3.5.0,3.5.2000,1597533669000,No CVE
org.mockito:mockito-core:2.6.5,2.6.2005,1485003471000,No CVE
org.mockito:mockito-core:3.5.11,3.5.11,1600378545000,No CVE
org.mockito:mockito-core:2.7.3,2.7.2003,1486385455000,No CVE
org.mockito:mockito-core:2.6.6,2.6.2006,1485166277000,No CVE
org.mockito:mockito-core:2.7.5,2.7.2005,1486481717000,No CVE
org.mockito:mockito-core:2.23.0,2.23.0,1538742007000,No CVE
org.mockito:mockito-core:2.0.63-beta,2.0.63-beta,1466336607000,No CVE
org.mockito:mockito-core:2.4.5,2.4.2005,1482861132000,No CVE
org.mockito:mockito-core:2.2.11,2.2.11,1478235051000,No CVE
org.mockito:mockito-core:2.0.99-beta,2.0.99-beta,1470551145000,No CVE
org.mockito:mockito-core:2.4.4,2.4.2004,1482849916000,No CVE
org.mockito:mockito-core:2.0.8-beta,2.0.8-beta,1431529463000,No CVE
org.mockito:mockito-core:2.4.2,2.4.2002,1482617843000,No CVE
org.mockito:mockito-core:2.0.104-beta,2.0.104-beta,1471315432000,No CVE
org.mockito:mockito-core:2.0.40-beta,2.0.40-beta,1453323924000,No CVE
org.mockito:mockito-core:2.2.10,2.2.10,1478180680000,No CVE
org.mockito:mockito-core:2.7.15,2.7.15,1489061017000,No CVE
org.mockito:mockito-core:2.0.97-beta,2.0.97-beta,1470305951000,No CVE
org.mockito:mockito-core:2.0.1-beta,2.0.1-beta,1420210373000,No CVE
org.mockito:mockito-core:2.0.105-beta,2.0.105-beta,1471335941000,No CVE
org.mockito:mockito-core:3.3.0,3.3.2000,1582317293000,No CVE
org.mockito:mockito-core:2.0.13-beta,2.0.13-beta,1433514185000,No CVE
org.mockito:mockito-core:3.3.3,3.3.2003,1584108141000,No CVE
org.mockito:mockito-core:2.0.106-beta,2.0.106-beta,1471343090000,No CVE
org.mockito:mockito-core:2.4.1,2.4.2001,1482418912000,No CVE
org.mockito:mockito-core:2.4.3,2.4.2003,1482767619000,No CVE
org.mockito:mockito-core:4.6.1,4.6.2001,1654191453000,No CVE
org.mockito:mockito-core:2.2.0-beta.1,2.2.0-beta.1,1475496494000,No CVE
org.mockito:mockito-core:2.0.31-beta,2.0.31-beta,1437481275000,No CVE
org.mockito:mockito-core:2.28.1,2.28.1,1559062698000,No CVE
org.mockito:mockito-core:2.0.7-beta,2.0.7-beta,1429469179000,No CVE
org.mockito:mockito-core:2.7.20,2.7.20,1490808140000,No CVE
org.mockito:mockito-core:2.0.89-beta,2.0.89-beta,1469392502000,No CVE
org.mockito:mockito-core:2.28.2,2.28.2,1559151630000,No CVE
org.mockito:mockito-core:2.17.0,2.17.0,1521908288000,No CVE
org.mockito:mockito-core:2.7.21,2.7.21,1491044785000,No CVE
org.mockito:mockito-core:2.2.2,2.2.2002,1476592769000,No CVE
org.mockito:mockito-core:2.0.62-beta,2.0.62-beta,1466166316000,No CVE
org.mockito:mockito-core:2.0.0-beta.116,2.0.0-beta.116,1472108418000,No CVE
org.mockito:mockito-core:1.5,1.5,1218378277000,No CVE
org.mockito:mockito-core:2.0.0-beta.117,2.0.0-beta.117,1472119177000,No CVE
org.mockito:mockito-core:1.3,1.3,1209431898000,No CVE
org.mockito:mockito-core:2.0.48-beta,2.0.48-beta,1460940729000,No CVE
org.mockito:mockito-core:1.6,1.6,1225845423000,No CVE
org.mockito:mockito-core:2.0.64-beta,2.0.64-beta,1466355162000,No CVE
org.mockito:mockito-core:1.7,1.7,1233213458000,No CVE
org.mockito:mockito-core:2.0.28-beta,2.0.28-beta,1436334839000,No CVE
org.mockito:mockito-core:2.1.0-beta.122,2.1.0-beta.122,1473171151000,No CVE
org.mockito:mockito-core:2.0.74-beta,2.0.74-beta,1467106069000,No CVE
org.mockito:mockito-core:2.0.46-beta,2.0.46-beta,1460520600000,No CVE
org.mockito:mockito-core:2.0.61-beta,2.0.61-beta,1466162308000,No CVE
org.mockito:mockito-core:2.0.2-beta,2.0.2-beta,1420215864000,No CVE
org.mockito:mockito-core:2.0.73-beta,2.0.73-beta,1466979338000,No CVE
org.mockito:mockito-core:1.9.5-rc1,1.9.5-rc1,1341047427000,No CVE
org.mockito:mockito-core:2.0.0-beta.112,2.0.0-beta.112,1472026573000,No CVE
org.mockito:mockito-core:2.0.0-beta.118,2.0.0-beta.118,1472299180000,No CVE
org.mockito:mockito-core:2.0.67-beta,2.0.67-beta,1466373531000,No CVE
org.mockito:mockito-core:2.0.47-beta,2.0.47-beta,1460830179000,No CVE
org.mockito:mockito-core:1.9.0-rc1,1.9.0-rc1,1311864380000,No CVE
org.mockito:mockito-core:2.0.58-beta,2.0.58-beta,1466034032000,No CVE
org.mockito:mockito-core:1.8.0-rc1,1.8.0-rc1,1244652679000,No CVE
org.mockito:mockito-core:2.2.4,2.2.2004,1476718638000,No CVE
org.mockito:mockito-core:2.0.109-beta,2.0.109-beta,1471793924000,No CVE
org.mockito:mockito-core:2.1.0-beta.123,2.1.0-beta.123,1473173983000,No CVE
org.mockito:mockito-core:2.0.0-beta.114,2.0.0-beta.114,1472044597000,No CVE
org.mockito:mockito-core:2.0.0-beta.113,2.0.0-beta.113,1472030844000,No CVE
org.mockito:mockito-core:2.0.4-beta,2.0.4-beta,1424029016000,No CVE
org.mockito:mockito-core:2.0.9-beta,2.0.9-beta,1433274842000,No CVE
org.mockito:mockito-core:2.2.1,2.2.2001,1476328775000,No CVE
org.mockito:mockito-core:2.2.0,2.2.2000,1476058029000,No CVE
org.mockito:mockito-core:2.2.6,2.2.2006,1477011674000,No CVE
org.mockito:mockito-core:2.2.5,2.2.2005,1476721999000,No CVE
org.mockito:mockito-core:2.0.51-beta,2.0.51-beta,1461328670000,No CVE
org.mockito:mockito-core:2.2.3,2.2.2003,1476627064000,No CVE
org.mockito:mockito-core:2.1.0-beta.120,2.1.0-beta.120,1472735023000,No CVE
org.mockito:mockito-core:2.0.54-beta,2.0.54-beta,1464375096000,No CVE
org.mockito:mockito-core:2.0.94-beta,2.0.94-beta,1469956580000,No CVE
org.mockito:mockito-core:3.4.3,3.4.2003,1594986678000,No CVE
org.mockito:mockito-core:3.4.0,3.4.2000,1594409990000,No CVE
org.mockito:mockito-core:2.1.0-RC.2,2.1.0-RC.2,1475138952000,No CVE
org.mockito:mockito-core:2.0.90-beta,2.0.90-beta,1469471346000,No CVE
org.mockito:mockito-core:4.8.0,4.8.2000,1662572785000,No CVE
org.mockito:mockito-core:4.8.1,4.8.2001,1666038717000,No CVE
org.mockito:mockito-core:2.1.0-RC.1,2.1.0-RC.1,1473526910000,No CVE
org.mockito:mockito-core:2.0.82-beta,2.0.82-beta,1467910461000,No CVE
org.mockito:mockito-core:1.8.0-rc2,1.8.0-rc2,1245360433000,No CVE
org.mockito:mockito-core:3.4.4,3.4.2004,1595098564000,No CVE
org.mockito:mockito-core:4.1.0,4.1.2000,1637340037000,No CVE
org.mockito:mockito-core:3.7.7,3.7.2007,1610792588000,No CVE
org.mockito:mockito-core:2.0.16-beta,2.0.16-beta,1434758936000,No CVE
org.mockito:mockito-core:2.3.4,2.3.2004,1481732347000,No CVE
org.mockito:mockito-core:2.3.2,2.3.2002,1481653934000,No CVE
org.mockito:mockito-core:2.19.1,2.19.1,1531520839000,No CVE
org.mockito:mockito-core:2.3.3,2.3.2003,1481668716000,No CVE
org.mockito:mockito-core:2.19.0,2.19.0,1529067448000,No CVE
org.mockito:mockito-core:2.1.0-beta.126,2.1.0-beta.126,1473524796000,No CVE
org.mockito:mockito-core:2.0.0-beta,2.0.0-beta,1420207087000,No CVE
org.mockito:mockito-core:2.3.1,2.3.2001,1481653544000,No CVE
org.mockito:mockito-core:2.0.3-beta,2.0.3-beta,1421786099000,No CVE
org.mockito:mockito-core:1.10.8,1.10.2008,1412972021000,No CVE
org.mockito:mockito-core:1.10.5,1.10.2005,1412623678000,No CVE
org.mockito:mockito-core:2.0.78-beta,2.0.78-beta,1467386403000,No CVE
